Date,Close,Open,High,Low
17-05-2021,25703.55,25650.45,25770.5,25499.45
18-05-2021,25958.25,25898.9,26094.1,25840.55
19-05-2021,25982.8,25949.55,26262.7,25869.65
20-05-2021,25894.5,26075.4,26118.25,25821.55
21-05-2021,26105.3,26012.85,26154,25936.6
24-05-2021,26144.2,26150.6,26298.55,26095.4
25-05-2021,26393.9,26275.45,26550.55,26241.15
26-05-2021,26857.35,26450.7,26905.75,26380.5
27-05-2021,27164.8,26921.8,27350.25,26916.85
28-05-2021,27122.8,27238.1,27278.7,27041.9
31-05-2021,27115.05,27144.1,27203.9,26886.8
01-06-2021,27144.4,27216.75,27254.15,26953.5
02-06-2021,26939.65,27051.4,27118.7,26737.15
03-06-2021,26987.9,27088.45,27159.95,26855.2
04-06-2021,26996.75,27031.6,27167.5,26914.6
07-06-2021,27295.65,27078.4,27330.4,26997.8
08-06-2021,27623.8,27400.8,27732.35,27376.95
09-06-2021,27539,27691.3,27793.8,27436.35
10-06-2021,27798,27676.5,27822.1,27649.95
11-06-2021,28217.5,27866.25,28347.5,27820.5
14-06-2021,28314.1,28371.9,28467.35,28134.65
15-06-2021,28377.85,28384.7,28544.6,28325.9
16-06-2021,28448.85,28384.15,28600.2,28241.25
17-06-2021,28611.35,28355.15,28714.6,28343.05
18-06-2021,28445.6,28829.5,28934.05,28227.55
21-06-2021,28367,28224.1,28393.05,28083.75
22-06-2021,28523.55,28514.15,28656.4,28396.5
23-06-2021,28258.5,28719.65,28719.65,28229.35
24-06-2021,29048,28395.45,29098.95,28357.3
25-06-2021,29210.55,29176.75,29284,28874.6
28-06-2021,29068.55,29259.6,29259.6,28977.75
29-06-2021,28986.25,29049.65,29183.85,28934.15
30-06-2021,29168,29057.15,29311.55,29036.95
01-07-2021,29003.1,29193.05,29193.05,28953.05
02-07-2021,29007.95,28983.5,29028.35,28704
05-07-2021,28950.6,29117.45,29185.6,28907.75
06-07-2021,28649.4,28924,28986.1,28607.6
07-07-2021,28734.65,28708.6,28790.3,28381.3
08-07-2021,28749,28821.75,28934.45,28541.95
09-07-2021,28662.2,28669.2,28898.85,28549.25
12-07-2021,28532.35,28837.05,28854.55,28421.55
13-07-2021,28439.75,28674.7,28681.2,28381.9
14-07-2021,29339.85,28581.25,29376.9,28534.85
15-07-2021,29718.05,29303.35,29835.9,29284.8
16-07-2021,29400.25,29734.75,29734.75,29287.25
19-07-2021,29264,29248.3,29592.35,29167.35
20-07-2021,29252.5,29282.8,29410.5,28992
22-07-2021,29779.95,29335.7,29808.45,29335.7
23-07-2021,29894.3,29895.6,30059.7,29848.05
26-07-2021,29940.4,29886.2,30139.2,29859.6
27-07-2021,29892.55,29967.9,30048.35,29698.95
28-07-2021,29954.15,29934.05,29993.55,29510.35
29-07-2021,30371.4,30037.2,30406,30037.1
30-07-2021,30480.05,30546.85,30818.55,30438.35
02-08-2021,30803.05,30681.95,30832.3,30547
03-08-2021,31165.85,30974.75,31196.45,30872.35
04-08-2021,30977.15,31296.8,31338.8,30895.45
05-08-2021,31211.2,31025.15,31560.2,30980.9
06-08-2021,31303.3,31251.2,31460.3,31057.6
09-08-2021,31441,31523.5,31685.4,31324.75
10-08-2021,31713.4,31489.95,31812.75,31431.15
11-08-2021,31670,31767.9,31799.75,31522.4
12-08-2021,32245.1,31667.35,32289.85,31667.35
13-08-2021,32678.8,32308.85,32821.9,32264.15
16-08-2021,32577.95,32671.75,32905.35,32438.25
17-08-2021,33414.75,32614,33487.1,32449.65
18-08-2021,33448.9,33482.85,33840.45,33268.6
20-08-2021,33351.35,32954.2,33652.4,32949.9
23-08-2021,33919.8,33582.15,34153.4,33567.35
24-08-2021,33838.4,34145.25,34262.6,33634.75
25-08-2021,34083.95,33887.75,34399.85,33764.1
26-08-2021,34041.1,34092.9,34375.95,33929.7
27-08-2021,34309.8,34036.45,34392.85,33799.05
30-08-2021,34109.25,34338.75,34480.15,34027.5
31-08-2021,34570.25,34205.8,34680.65,34043.6
01-09-2021,34110.5,34698.75,34780,34037.15
02-09-2021,34680.3,34218.25,34846.9,34051.9
03-09-2021,34891.2,34744.45,34997.7,34490.65
06-09-2021,35415.1,34992.05,35464.4,34855.95
07-09-2021,34951.3,35549.3,35581.55,34906.85
08-09-2021,34678.2,34973.9,34979.3,34515.45
09-09-2021,34802.3,34676.2,34862.85,34530
13-09-2021,35129.6,34688.3,35242.5,34573.7
14-09-2021,35431.5,35224.25,35476.9,35020.7
15-09-2021,36075.2,35462.35,36200,35375.35
16-09-2021,35852.45,36151.35,36310.75,35694.85
17-09-2021,35646.5,35915.4,36131.25,35527
20-09-2021,35400.05,35462.4,36130.55,35346.2
21-09-2021,36086.05,35609.1,36127.8,35332.85
22-09-2021,36422.45,36154.05,36713.15,36145.95
23-09-2021,36816.9,36691.95,36867.45,36532.45
24-09-2021,37103.25,37128.75,37823.15,37055
27-09-2021,36034.4,37335.9,37345.05,35968.75
28-09-2021,35239.95,36082,36082,34924.55
29-09-2021,35282.65,34894.9,35578.3,34733.95
30-09-2021,35028,35394.9,35408.1,34975.6
01-10-2021,34780.6,34955.5,35100.9,34719.8
04-10-2021,35126.15,34923.8,35184.55,34778.25
05-10-2021,35544.3,34978.4,35650.85,34781.6
06-10-2021,35075.8,35689.55,35801.5,35003.05
07-10-2021,35703.85,35323.6,35903.95,35233.3
08-10-2021,36402,35920.55,36703.55,35786.3
11-10-2021,35179.95,35494.4,35690.4,34768.95
12-10-2021,34869.75,35179.2,35294.15,34512.8
13-10-2021,35285.6,35053.7,35324.45,34872.4
14-10-2021,35744.85,35921.45,36412.45,35571.4
18-10-2021,36306.35,36012,36400.6,35863.4
19-10-2021,37106.35,36841.6,37491.85,36720
20-10-2021,36846.8,37188.15,37463.9,36534.5
21-10-2021,35913.6,36988.9,36988.9,35624.5
22-10-2021,35394.65,35892.65,36297.2,35098.2
25-10-2021,35005.4,35467.1,35521.05,34529.85
26-10-2021,35162.35,35181.7,35699.85,34957.75
27-10-2021,35503.9,35245.05,35578,35163.05
28-10-2021,34913.6,35575.65,35575.65,34787.1
29-10-2021,34408.75,34820.3,35178.75,34288.55
01-11-2021,35290,34677.3,35328.55,34654.95
02-11-2021,35177.35,35334.25,35522.35,35076.15
03-11-2021,35177.1,35351.45,35525.75,35093.05
04-11-2021,35334.25,35403,35452.35,35302.45
08-11-2021,35782.35,35606,35852.5,35177.95
09-11-2021,35815.1,35839.2,36117.95,35763.85
10-11-2021,35722.95,35635.05,35862.45,35576.2
11-11-2021,35583.65,35626.65,35697,35141.3
12-11-2021,36332.3,35860.1,36378.05,35732.75
15-11-2021,36465.3,36391.1,36646.25,36302.95
16-11-2021,36643.9,36555.25,36794.25,36429.9
17-11-2021,36660.9,36623.75,36835.95,36431.25
18-11-2021,36007,36641.55,36702.4,35867.3
22-11-2021,35478.95,36097,36097,35224.55
23-11-2021,35504.4,35206,35645.45,34707.85
24-11-2021,34966.25,35627.95,35662.6,34828.3
25-11-2021,35300.25,34978,35365.75,34934.55
26-11-2021,34606.15,35024.7,35190.1,34512.6
29-11-2021,34870.75,34382.4,35104.35,33953.9
30-11-2021,35043.75,35018.9,35654.2,34918.6
01-12-2021,35429,35143,35652.2,35123.95
02-12-2021,36157.85,35504.8,36195.65,35418.25
03-12-2021,35848.05,36314.8,36518.8,35784.15
06-12-2021,34879.4,35835.45,35953.75,34828.15
07-12-2021,35272.3,35136.55,35384,34756.6
08-12-2021,35959.05,35584.8,36131.95,35576.85
09-12-2021,35946.35,35963.7,36114,35573.35
10-12-2021,35939.6,35820.05,35974.75,35652.2
13-12-2021,36050.55,36104.35,36507.3,35984.55
14-12-2021,36102.55,35946.75,36252.05,35637.85
15-12-2021,35737.2,36033.9,36060,35536.15
