Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
55,8,SimpleRNN,0.02085443741322902,0.14441065546984067,0.3811825052230894,18.4191015615224,Discrete
55,8,GRU,0.0030970162899023766,0.05565084267019123,0.9081016752537785,39.62576050395725,Discrete
55,14,LSTM,0.2684395629882248,0.5181115352780952,-7.031686374439575,-0.4587889083037615,Continuous
55,14,SimpleRNN,0.012522863214991258,0.11190559956941948,0.6253171152076871,29.805121002698208,Continuous
55,14,GRU,0.02164152942171011,0.1471106026828458,0.35248748342655123,17.785849734011983,Continuous
55,14,LSTM,0.013034536119635343,0.11416889295966455,0.6100079102207154,28.696074612846605,Discrete
55,14,SimpleRNN,0.03389363586264626,0.18410224295930308,-0.014094384255027403,11.640577971906836,Discrete
55,14,GRU,0.00839291125840276,0.0916128334809199,0.7488848877356022,37.22146205181706,Discrete
55,21,LSTM,0.05044870217731974,0.22460788538544177,-0.535980900603285,7.912779337374554,Continuous
55,21,SimpleRNN,0.003480984708444027,0.058999870410400286,0.8940165792834637,39.28106878314374,Continuous
55,21,GRU,0.029752876444612622,0.17249022130141936,0.09413229707463766,13.167252697887628,Continuous
55,21,LSTM,0.011515872104237001,0.10731203149804314,0.6493832577946818,32.26822470039063,Discrete
55,21,SimpleRNN,0.024146354690699822,0.1553909736461543,0.26483064928514066,16.03810986956461,Discrete
55,21,GRU,0.007903558809736875,0.08890196178789798,0.759365159962265,37.335903621492946,Discrete
55,55,LSTM,0.19867654883946181,0.4457314761596513,-5.476482850755367,0.6001090141781127,Continuous
55,55,SimpleRNN,0.01672939533465359,0.12934216379299363,0.45465309005372434,22.653702506540046,Continuous
55,55,GRU,0.006241874174468033,0.07900553255606871,0.7965266092870363,37.81795601131883,Continuous
55,55,LSTM,0.017469482386681903,0.132172169486174,0.4305276402785698,21.746365829817233,Discrete
55,55,SimpleRNN,0.007314034859742174,0.08552213081853242,0.7615761819115187,37.48481867661364,Discrete
55,55,GRU,0.0039007548390408114,0.06245602324068361,0.8728427085752208,38.961369562006354,Discrete
